2026-05-02 07:17:10,946 | INFO     | api.websocket | [WS] Client connecté BTC/USDT (total: 64)
2026-05-02 07:17:10,961 | INFO     | api.websocket | [WS] Client connecté BTC/USDT (total: 65)
2026-05-02 07:17:10,976 | INFO     | api.websocket | [WS] Client connecté PAXG/USDT (total: 65)
2026-05-02 07:17:10,996 | INFO     | api.websocket | [WS] Client connecté BTC/USDT (total: 66)
2026-05-02 07:17:11,009 | INFO     | api.websocket | [WS] Client connecté PAXG/USDT (total: 66)
2026-05-02 07:17:11,026 | INFO     | api.websocket | [WS] Client connecté BTC/USDT (total: 67)
2026-05-02 07:17:11,043 | INFO     | api.websocket | [WS] Client connecté PAXG/USDT (total: 67)
2026-05-02 07:17:11,043 | INFO     | assistant.voice_engine | [VOICE] Écoute active — wake words: ['titan', 'hey titan', 'jarvis', 'hey jarvis']
2026-05-02 07:17:11,063 | INFO     | api.websocket | [WS] Client connecté BTC/USDT (total: 68)
2026-05-02 07:17:11,076 | INFO     | api.websocket | [WS] Client connecté PAXG/USDT (total: 68)
2026-05-02 07:17:11,095 | INFO     | api.websocket | [WS] Client connecté BTC/USDT (total: 69)
2026-05-02 07:17:11,111 | INFO     | api.websocket | [WS] Client connecté PAXG/USDT (total: 69)
2026-05-02 07:17:11,130 | INFO     | api.websocket | [WS] Client connecté BTC/USDT (total: 70)
2026-05-02 07:17:11,153 | INFO     | api.websocket | [WS] Client connecté PAXG/USDT (total: 70)
2026-05-02 07:17:11,168 | INFO     | api.websocket | [WS] Client connecté BTC/USDT (total: 71)
2026-05-02 07:17:11,186 | INFO     | api.websocket | [WS] Client connecté BTC/USDT (total: 72)
2026-05-02 07:17:11,204 | INFO     | api.websocket | [WS] Client connecté PAXG/USDT (total: 71)
2026-05-02 07:17:11,230 | INFO     | api.websocket | [WS] Client connecté BTC/USDT (total: 73)
2026-05-02 07:17:11,245 | INFO     | api.websocket | [WS] Client connecté PAXG/USDT (total: 72)
2026-05-02 07:17:11,262 | INFO     | api.websocket | [WS] Client connecté BTC/USDT (total: 74)
2026-05-02 07:17:11,277 | INFO     | api.websocket | [WS] Client connecté BTC/USDT (total: 75)
2026-05-02 07:17:11,296 | INFO     | api.websocket | [WS] Client connecté BTC/USDT (total: 76)
2026-05-02 07:17:11,309 | INFO     | api.websocket | [WS] Client connecté BTC/USDT (total: 77)
2026-05-02 07:17:11,328 | INFO     | api.websocket | [WS] Client connecté BTC/USDT (total: 78)
2026-05-02 07:17:11,344 | INFO     | api.websocket | [WS] Client connecté BTC/USDT (total: 79)
2026-05-02 07:17:11,359 | INFO     | api.websocket | [WS] Client connecté PAXG/USDT (total: 73)
2026-05-02 07:17:11,381 | INFO     | api.websocket | [WS] Client connecté PAXG/USDT (total: 74)
2026-05-02 07:17:11,424 | INFO     | api.websocket | [WS] Client connecté PAXG/USDT (total: 75)
2026-05-02 07:17:11,441 | INFO     | api.websocket | [WS] Client connecté BTC/USDT (total: 80)
2026-05-02 07:17:11,457 | INFO     | api.websocket | [WS] Client connecté PAXG/USDT (total: 76)
2026-05-02 07:17:11,474 | INFO     | api.websocket | [WS] Client connecté PAXG/USDT (total: 77)
2026-05-02 07:17:11,491 | INFO     | api.websocket | [WS] Client connecté BTC/USDT (total: 81)
2026-05-02 07:17:11,512 | INFO     | api.websocket | [WS] Client connecté BTC/USDT (total: 82)
2026-05-02 07:17:11,534 | INFO     | api.websocket | [WS] Client connecté PAXG/USDT (total: 78)
2026-05-02 07:17:11,559 | INFO     | api.websocket | [WS] Client connecté BTC/USDT (total: 83)
2026-05-02 07:17:11,579 | INFO     | api.websocket | [WS] Client connecté PAXG/USDT (total: 79)
2026-05-02 07:17:11,594 | INFO     | api.websocket | [WS] Client connecté PAXG/USDT (total: 80)
2026-05-02 07:17:11,624 | INFO     | api.websocket | [WS] Client connecté PAXG/USDT (total: 81)
2026-05-02 07:17:11,640 | INFO     | api.websocket | [WS] Client connecté PAXG/USDT (total: 82)
2026-05-02 07:17:11,661 | INFO     | api.websocket | [WS] Client connecté BTC/USDT (total: 84)
2026-05-02 07:17:11,677 | INFO     | api.websocket | [WS] Client connecté PAXG/USDT (total: 83)
2026-05-02 07:17:11,699 | INFO     | api.websocket | [WS] Client connecté PAXG/USDT (total: 84)
2026-05-02 07:17:11,716 | INFO     | api.websocket | [WS] Client connecté PAXG/USDT (total: 85)
2026-05-02 07:17:11,741 | INFO     | api.websocket | [WS] Client connecté BTC/USDT (total: 85)
2026-05-02 07:17:11,758 | INFO     | api.websocket | [WS] Client connecté BTC/USDT (total: 86)
2026-05-02 07:17:11,775 | INFO     | api.websocket | [WS] Client connecté PAXG/USDT (total: 86)
2026-05-02 07:17:11,790 | INFO     | api.websocket | [WS] Client connecté PAXG/USDT (total: 87)
2026-05-02 07:17:11,815 | INFO     | api.websocket | [WS] Client connecté PAXG/USDT (total: 88)
2026-05-02 07:17:11,831 | INFO     | api.websocket | [WS] Client connecté BTC/USDT (total: 87)
2026-05-02 07:17:11,846 | INFO     | api.websocket | [WS] Client connecté BTC/USDT (total: 88)
2026-05-02 07:17:11,861 | INFO     | api.websocket | [WS] Client connecté BTC/USDT (total: 89)
2026-05-02 07:17:11,878 | INFO     | api.websocket | [WS] Client connecté BTC/USDT (total: 90)
2026-05-02 07:17:11,896 | INFO     | api.websocket | [WS] Client connecté PAXG/USDT (total: 89)
2026-05-02 07:17:11,911 | INFO     | api.websocket | [WS] Client connecté BTC/USDT (total: 91)
2026-05-02 07:17:12,295 | INFO     | data.gold_provider | [GOLD/TD] XAU/USD/30m → 500 bougies
2026-05-02 07:17:12,316 | INFO     | core.signal_engine | [SCAN] BTC/USDT — df30 insuffisant (1 barres, min=10) — en attente de données WS
2026-05-02 07:17:12,316 | INFO     | core.signal_engine | [SCAN] PAXG/USDT — df30 insuffisant (0 barres, min=10) — en attente de données WS
2026-05-02 07:17:12,320 | INFO     | api.websocket | [WS] Client connecté BTC/USDT (total: 92)
2026-05-02 07:17:12,343 | INFO     | api.websocket | [WS] Client connecté BTC/USDT (total: 93)
2026-05-02 07:17:12,366 | INFO     | api.websocket | [WS] Client connecté BTC/USDT (total: 94)
2026-05-02 07:17:12,382 | INFO     | api.websocket | [WS] Client connecté PAXG/USDT (total: 90)
2026-05-02 07:17:12,405 | INFO     | api.websocket | [WS] Client connecté PAXG/USDT (total: 91)
2026-05-02 07:17:12,420 | INFO     | api.websocket | [WS] Client connecté BTC/USDT (total: 95)
2026-05-02 07:17:12,446 | INFO     | api.websocket | [WS] Client connecté BTC/USDT (total: 96)
2026-05-02 07:17:12,464 | INFO     | api.websocket | [WS] Client connecté BTC/USDT (total: 97)
2026-05-02 07:17:12,491 | INFO     | api.websocket | [WS] Client connecté BTC/USDT (total: 98)
2026-05-02 07:17:12,504 | INFO     | api.websocket | [WS] Client connecté PAXG/USDT (total: 92)
2026-05-02 07:17:12,530 | INFO     | api.websocket | [WS] Client connecté BTC/USDT (total: 99)
2026-05-02 07:17:12,547 | INFO     | api.websocket | [WS] Client connecté BTC/USDT (total: 100)
2026-05-02 07:17:12,562 | INFO     | api.websocket | [WS] Client connecté BTC/USDT (total: 101)
2026-05-02 07:17:12,587 | INFO     | api.websocket | [WS] Client connecté PAXG/USDT (total: 93)
2026-05-02 07:17:12,603 | INFO     | api.websocket | [WS] Client connecté BTC/USDT (total: 102)
2026-05-02 07:17:12,628 | INFO     | api.websocket | [WS] Client connecté PAXG/USDT (total: 94)
2026-05-02 07:17:12,648 | INFO     | api.websocket | [WS] Client connecté PAXG/USDT (total: 95)
2026-05-02 07:17:12,672 | INFO     | api.websocket | [WS] Client connecté PAXG/USDT (total: 96)
2026-05-02 07:17:12,693 | INFO     | api.websocket | [WS] Client connecté BTC/USDT (total: 103)
2026-05-02 07:17:12,713 | INFO     | api.websocket | [WS] Client connecté BTC/USDT (total: 104)
2026-05-02 07:17:12,729 | INFO     | api.websocket | [WS] Client connecté BTC/USDT (total: 105)
2026-05-02 07:17:12,753 | INFO     | api.websocket | [WS] Client connecté PAXG/USDT (total: 97)
2026-05-02 07:17:12,771 | INFO     | api.websocket | [WS] Client connecté BTC/USDT (total: 106)
2026-05-02 07:17:12,793 | INFO     | api.websocket | [WS] Client connecté PAXG/USDT (total: 98)
2026-05-02 07:17:12,819 | INFO     | api.websocket | [WS] Client connecté BTC/USDT (total: 107)
2026-05-02 07:17:12,836 | INFO     | api.websocket | [WS] Client connecté BTC/USDT (total: 108)
2026-05-02 07:17:12,851 | INFO     | api.websocket | [WS] Client connecté BTC/USDT (total: 109)
2026-05-02 07:17:12,868 | INFO     | api.websocket | [WS] Client connecté PAXG/USDT (total: 99)
2026-05-02 07:17:12,883 | INFO     | api.websocket | [WS] Client connecté BTC/USDT (total: 110)
2026-05-02 07:17:12,900 | INFO     | api.websocket | [WS] Client connecté PAXG/USDT (total: 100)
2026-05-02 07:17:12,914 | INFO     | api.websocket | [WS] Client connecté BTC/USDT (total: 111)
2026-05-02 07:17:12,931 | INFO     | api.websocket | [WS] Client connecté PAXG/USDT (total: 101)
2026-05-02 07:17:12,947 | INFO     | api.websocket | [WS] Client connecté BTC/USDT (total: 112)
2026-05-02 07:17:12,961 | INFO     | api.websocket | [WS] Client connecté PAXG/USDT (total: 102)
2026-05-02 07:17:12,978 | INFO     | api.websocket | [WS] Client connecté PAXG/USDT (total: 103)
2026-05-02 07:17:12,994 | INFO     | api.websocket | [WS] Client connecté PAXG/USDT (total: 104)
2026-05-02 07:17:13,023 | INFO     | api.websocket | [WS] Client connecté PAXG/USDT (total: 105)
2026-05-02 07:17:13,039 | INFO     | api.websocket | [WS] Client connecté BTC/USDT (total: 113)
2026-05-02 07:17:13,055 | INFO     | api.websocket | [WS] Client connecté PAXG/USDT (total: 106)
2026-05-02 07:17:13,071 | INFO     | api.websocket | [WS] Client connecté PAXG/USDT (total: 107)
